platform,2013-07,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CE01ISSM,,0.19,0.2532258064516129,0.2,0.2,0.1032258064516129,,0.353225806451613,0.45500000000000007,0.4580645161290322,0.4580645161290322,0.45714285714285713,0.4548387096774194,0.16833333333333333,,0.6983333333333334,0.7145161290322581,0.5693548387096775,,0.3645161290322581,0.47000000000000003,0.4709677419354839,0.4693548387096774,,,,0.18387096774193548,0.37,0.35161290322580646,0.05806451612903226,0.019999999999999997,0.5564516129032258,0.45,0.45,0.45,0.030357142857142853,,0.265,0.5370967741935484,0.45666666666666667,0.4338709677419355,0.3870967741935484,0.38666666666666666,,
CE01ISSP,,0.19999999999999998,0.024193548387096774,,,,,,,,,,,,,,,0.020161290322580645,,,,,,,,,,0.09999999999999999,,0.12096774193548386,,,,,,,,0.15,0.75,0.6,0.2903225806451613,0.7016129032258064,,,
CE02SHBP,,,,,,,0.13809523809523808,0.7142857142857143,0.6952380952380953,0.5391705069124424,0.6774193548387097,0.6683673469387755,0.6912442396313364,0.6952380952380953,0.7142857142857143,0.6952380952380953,0.6175115207373272,0.5529953917050692,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4976958525345622,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.29493087557603687,0.2857142857142857,0.31336405529953915,0.7142857142857143,0.7142857142857143,0.6774193548387097,0.5714285714285714,0.5714285714285714,0.5529953917050692,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.49308755760368667,0.5809523809523809,,
CE02SHSM,,,,,,,,,,,,,,0.7976190476190476,0.8110599078341014,0.8190476190476191,0.8202764976958525,0.7972350230414748,0.5119047619047619,0.6612903225806452,0.8095238095238094,0.8202764976958525,0.8110599078341014,0.8177339901477831,0.8202764976958525,0.8190476190476191,0.8110599078341014,0.819047619047619,0.7811059907834101,0.7580645161290323,0.7690476190476191,0.7511520737327189,0.7476190476190476,0.7488479262672811,0.6543778801843319,0.596938775510204,0.6059907834101382,0.6666666666666667,0.7027649769585255,0.6857142857142857,0.6797235023041475,0.6728110599078342,0.6857142857142857,,
CE02SHSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP,0.06912442396313365,,,,,0.12903225806451613,0.17142857142857143,0.46082949308755755,0.4333333333333334,0.152073732718894,0.42857142857142855,0.40816326530612246,0.29493087557603687,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3963133640552995,0.42857142857142855,0.5299539170506913,0.42857142857142855,0.38248847926267276,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.31336405529953915,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.45622119815668205,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5023041474654378,0.5,,
CE04OSPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS,,,,,,,,0.05529953917050691,0.08571428571428572,0.07142857142857142,0.12442396313364056,0.1326530612244898,0.14055299539170507,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.10599078341013825,0.5368663594470047,0.5714285714285714,0.6267281105990783,0.6214285714285713,0.5645161290322581,0.5645161290322581,0.5714285714285714,0.5714285714285714,0.4761904761904762,0.5714285714285714,0.5714285714285714,0.509216589861751,0.6728110599078342,0.7000000000000001,0.6705069124423965,0.6,0.6797235023041475,0.5737327188940092,0.6377551020408163,0.6405529953917052,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5599078341013825,0.6267281105990784,0.38095238095238093,,
CE04OSSM,,,,,,,,,,,,,,0.7076923076923077,0.8734491315136477,0.8820512820512822,0.8833746898263027,0.8734491315136477,0.8820512820512822,0.8486352357320098,0.7948717948717948,0.7468982630272953,0.69727047146402,0.5782493368700264,0.5806451612903226,0.5769230769230769,0.5756823821339949,0.8051282051282052,0.7965260545905708,0.8064516129032259,0.8051282051282052,0.7965260545905708,0.8051282051282052,0.8213399503722084,0.7791563275434243,0.8351648351648352,0.511166253101737,0.26153846153846155,0.8064516129032259,0.8051282051282052,0.7965260545905708,0.7915632754342432,0.7282051282051282,,
CE05MOAS,,0.08888888888888886,0.22526881720430106,0.13999999999999999,0.040860215053763436,,,0.18709677419354837,0.21277777777777776,0.12258064516129033,0.056451612903225826,0.14226190476190476,0.08870967741935482,0.23500000000000004,0.21559139784946232,0.3477777777777778,0.11559139784946235,0.10806451612903224,0.13333333333333333,0.3123655913978495,0.2616666666666667,0.03333333333333333,0.0478494623655914,0.17931034482758623,0.128494623655914,0.02222222222222222,0.15483870967741936,0.20444444444444446,0.10537634408602153,0.04731182795698925,0.039444444444444456,0.27150537634408606,0.3,0.23817204301075268,0.07956989247311827,0.1714285714285714,0.19623655913978494,0.2127777777777778,0.15860215053763443,0.05555555555555555,0.04301075268817204,0.13333333333333333,0.13333333333333333,,
CE06ISSM,,,,,,,,0.4919354838709677,0.5566666666666668,0.37419354838709673,0.3725806451612903,0.35714285714285715,0.35161290322580646,0.5416666666666665,0.6016129032258063,0.6199999999999999,0.6064516129032259,0.5629032258064516,0.485,0.4064516129032258,0.325,0.25,0.25,0.18793103448275864,,,0.4532258064516129,0.4,0.2774193548387097,,0.08333333333333333,0.6193548387096774,0.6233333333333333,0.617741935483871,0.4919354838709678,0.21428571428571427,0.2032258064516129,0.4083333333333332,0.5725806451612903,0.5366666666666667,0.5338709677419355,0.5370967741935484,0.3516666666666667,,
CE06ISSP,,,,,,,,,,,,,,,0.03225806451612903,,0.12096774193548386,0.07258064516129033,,,,,,,,,0.12903225806451613,,0.12096774193548386,0.41129032258064513,,,,,,,,,,,0.14516129032258066,0.26612903225806456,,,
CE07SHSM,,,,,,,,,,,,,,0.28095238095238095,0.49308755760368667,0.5190476190476192,0.49155145929339483,0.44546850998463905,0.3396825396825397,0.3087557603686636,0.492063492063492,0.434715821812596,0.49308755760368667,0.49753694581280783,0.4823348694316436,0.45714285714285713,0.6973886328725039,0.7063492063492064,0.6635944700460829,0.5069124423963134,0.5047619047619046,0.6328725038402457,0.5936507936507938,0.4685099846390169,,,,0.49682539682539667,0.7250384024577572,0.473015873015873,0.17357910906298005,0.1443932411674347,0.18888888888888888,,
CE07SHSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSPM,,0.3066666666666667,,,,,,0.7161290322580646,0.9,0.9225806451612903,0.9225806451612903,0.9142857142857143,0.9032258064516128,0.9,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9199999999999999,0.9032258064516128,0.9,0.1741935483870968,,,,,0.5870967741935483,0.9199999999999999,0.9032258064516128,0.9225806451612903,0.9133333333333333,0.4709677419354839,0.11333333333333333,0.1096774193548387,0.12258064516129033,0.10714285714285714,0.1225806451612903,0.5866666666666667,0.9096774193548388,0.9066666666666666,0.08387096774193548,,,,
CE09OSSM,,,,,,,,,,,,,,0.4174603174603174,0.46390168970814133,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11904761904761904,0.2872503840245776,0.18412698412698414,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3517665130568356,0.4984126984126984,0.49308755760368667,0.4992319508448541,0.5333333333333333,0.6774193548387096,0.6603174603174604,0.6482334869431644,0.5821812596006144,0.44897959183673464,0.4516129032258065,0.6047619047619047,0.685099846390169,0.688888888888889,0.6835637480798771,0.5468509984639017,0.5047619047619049,,
