refdes,inst_percent
RS01SBPD-DP01A-01-CTDPFL104,0.0
RS01SBPD-DP01A-02-VEL3DA103,0.0
RS01SBPD-DP01A-03-FLCDRA102,0.0
RS01SBPD-DP01A-04-FLNTUA102,0.0
RS01SBPD-DP01A-05-OPTAAC102,0.0
RS01SBPD-DP01A-06-DOSTAD104,0.0
RS01SBPS-PC01A-05-ADCPTD102,100.0
RS01SBPS-PC01A-06-VADCPA101,0.0
RS01SBPS-PC01A-4A-CTDPFA103,100.0
RS01SBPS-PC01A-4A-DOSTAD103,0.0
RS01SBPS-PC01A-4B-PHSENA102,100.0
RS01SBPS-PC01A-4C-FLORDD103,100.0
RS01SBPS-SF01A-2A-CTDPFA102,0.0
RS01SBPS-SF01A-2A-DOFSTA102,0.0
RS01SBPS-SF01A-2D-PHSENA101,0.0
RS01SBPS-SF01A-3A-FLORTD101,0.0
RS01SBPS-SF01A-3B-OPTAAD101,0.0
RS01SBPS-SF01A-3C-PARADA101,0.0
RS01SBPS-SF01A-3D-SPKIRA101,0.0
RS01SBPS-SF01A-4A-NUTNRA101,0.0
RS01SBPS-SF01A-4B-VELPTD102,0.0
RS01SBPS-SF01A-4F-PCO2WA101,0.0
RS01SLBS-LJ01A-05-HPIESA101,100.0
RS01SLBS-LJ01A-10-ADCPTE101,100.0
RS01SLBS-LJ01A-11-OPTAAC103,0.0
RS01SLBS-LJ01A-12-CTDPFB101,100.0
RS01SLBS-LJ01A-12-DOSTAD101,0.0
RS01SLBS-MJ01A-06-PRESTA101,50.0
RS01SLBS-MJ01A-12-VEL3DB101,100.0
RS01SUM1-LJ01B-09-PRESTB102,50.0
RS01SUM1-LJ01B-12-VEL3DB104,100.0
RS01SUM2-MJ01B-00-FLOBNC101,0.0
RS01SUM2-MJ01B-00-FLOBNM101,0.0
RS01SUM2-MJ01B-00-OSMOIA101,0.0
RS01SUM2-MJ01B-06-MASSPA101,0.0
RS01SUM2-MJ01B-12-ADCPSK101,100.0
RS03ASHS-MJ03B-00-OSMOIA301,0.0
RS03ASHS-MJ03B-07-TMPSFA301,50.0
RS03AXBS-LJ03A-05-HPIESA301,100.0
RS03AXBS-LJ03A-10-ADCPTE303,100.0
RS03AXBS-LJ03A-11-OPTAAC303,0.0
RS03AXBS-LJ03A-12-CTDPFB301,100.0
RS03AXBS-LJ03A-12-DOSTAD301,0.0
RS03AXBS-MJ03A-06-PRESTA301,50.0
RS03AXBS-MJ03A-12-VEL3DB301,100.0
RS03AXPD-DP03A-01-CTDPFL304,0.0
RS03AXPD-DP03A-02-VEL3DA303,0.0
RS03AXPD-DP03A-03-FLCDRA302,0.0
RS03AXPD-DP03A-03-FLNTUA302,0.0
RS03AXPD-DP03A-05-OPTAAC302,0.0
RS03AXPD-DP03A-06-DOSTAD304,0.0
RS03AXPS-PC03A-05-ADCPTD302,100.0
RS03AXPS-PC03A-06-VADCPA301,100.0
RS03AXPS-PC03A-4A-CTDPFA303,100.0
RS03AXPS-PC03A-4A-DOSTAD303,0.0
RS03AXPS-PC03A-4B-PHSENA302,0.0
RS03AXPS-PC03A-4C-FLORDD303,100.0
RS03AXPS-SF03A-2A-CTDPFA302,100.0
RS03AXPS-SF03A-2A-DOFSTA302,0.0
RS03AXPS-SF03A-2D-PHSENA301,0.0
RS03AXPS-SF03A-3A-FLORTD301,100.0
RS03AXPS-SF03A-3B-OPTAAD301,0.0
RS03AXPS-SF03A-3C-PARADA301,100.0
RS03AXPS-SF03A-3D-SPKIRA301,100.0
RS03AXPS-SF03A-4A-NUTNRA301,100.0
RS03AXPS-SF03A-4B-VELPTD302,100.0
RS03AXPS-SF03A-4F-PCO2WA301,0.0
RS03CCAL-MJ03F-05-BOTPTA301,100.0
RS03ECAL-MJ03E-06-BOTPTA302,100.0
RS03INT1-MJ03C-06-MASSPA301,0.0
RS03INT1-MJ03C-07-PPSDNA301,0.0
RS03INT1-MJ03C-07-RASFLA301,0.0
RS03INT1-MJ03C-09-THSPHA301,0.0
RS03INT1-MJ03C-10-TRHPHA301,100.0
RS03INT2-MJ03D-06-BOTPTA303,100.0
RS03INT2-MJ03D-12-VEL3DB304,0.0
