refdes,2017-06,2017-07,NaT
RS01SBPD-DP01A-01-CTDPFL104,,,
RS01SBPD-DP01A-02-VEL3DA103,,,
RS01SBPD-DP01A-03-FLCDRA102,,,
RS01SBPD-DP01A-04-FLNTUA102,,,
RS01SBPD-DP01A-05-OPTAAC102,,,
RS01SBPD-DP01A-06-DOSTAD104,,,
RS01SBPS-PC01A-05-ADCPTD102,,,
RS01SBPS-PC01A-06-VADCPA101,,,
RS01SBPS-PC01A-4A-CTDPFA103,0.1,,
RS01SBPS-PC01A-4A-DOSTAD103,,,
RS01SBPS-PC01A-4B-PHSENA102,0.1,,
RS01SBPS-PC01A-4C-FLORDD103,0.1,,
RS01SBPS-SF01A-2A-CTDPFA102,,,
RS01SBPS-SF01A-2A-DOFSTA102,,,
RS01SBPS-SF01A-2D-PHSENA101,,,
RS01SBPS-SF01A-3A-FLORTD101,,,
RS01SBPS-SF01A-3B-OPTAAD101,,,
RS01SBPS-SF01A-3C-PARADA101,,,
RS01SBPS-SF01A-3D-SPKIRA101,,,
RS01SBPS-SF01A-4A-NUTNRA101,,,
RS01SBPS-SF01A-4B-VELPTD102,,,
RS01SBPS-SF01A-4F-PCO2WA101,,,
RS01SLBS-LJ01A-05-HPIESA101,0.1,,
RS01SLBS-LJ01A-10-ADCPTE101,,,
RS01SLBS-LJ01A-11-OPTAAC103,,,
RS01SLBS-LJ01A-12-CTDPFB101,0.1,,
RS01SLBS-LJ01A-12-DOSTAD101,,,
RS01SLBS-MJ01A-06-PRESTA101,0.1,,
RS01SLBS-MJ01A-12-VEL3DB101,0.1,,
RS01SUM1-LJ01B-09-PRESTB102,0.1,,
RS01SUM1-LJ01B-12-VEL3DB104,0.1,,
RS01SUM2-MJ01B-00-FLOBNC101,,,
RS01SUM2-MJ01B-00-FLOBNM101,,,
RS01SUM2-MJ01B-00-OSMOIA101,,,
RS01SUM2-MJ01B-06-MASSPA101,,,
RS01SUM2-MJ01B-12-ADCPSK101,,,
RS03ASHS-MJ03B-00-OSMOIA301,,,
RS03ASHS-MJ03B-07-TMPSFA301,0.1,,
RS03AXBS-LJ03A-05-HPIESA301,0.1,,
RS03AXBS-LJ03A-10-ADCPTE303,,,
RS03AXBS-LJ03A-11-OPTAAC303,,,
RS03AXBS-LJ03A-12-CTDPFB301,0.1,,
RS03AXBS-LJ03A-12-DOSTAD301,,,
RS03AXBS-MJ03A-06-PRESTA301,0.1,,
RS03AXBS-MJ03A-12-VEL3DB301,0.1,,
RS03AXPD-DP03A-01-CTDPFL304,,,
RS03AXPD-DP03A-02-VEL3DA303,,,
RS03AXPD-DP03A-03-FLCDRA302,,,
RS03AXPD-DP03A-03-FLNTUA302,,,
RS03AXPD-DP03A-05-OPTAAC302,,,
RS03AXPD-DP03A-06-DOSTAD304,,,
RS03AXPS-PC03A-05-ADCPTD302,,,
RS03AXPS-PC03A-06-VADCPA301,,,
RS03AXPS-PC03A-4A-CTDPFA303,0.1,,
RS03AXPS-PC03A-4A-DOSTAD303,,,
RS03AXPS-PC03A-4B-PHSENA302,0.06666666666666667,,
RS03AXPS-PC03A-4C-FLORDD303,0.1,,
RS03AXPS-SF03A-2A-CTDPFA302,0.1,,
RS03AXPS-SF03A-2A-DOFSTA302,,,
RS03AXPS-SF03A-2D-PHSENA301,,,
RS03AXPS-SF03A-3A-FLORTD301,0.1,,
RS03AXPS-SF03A-3B-OPTAAD301,,,
RS03AXPS-SF03A-3C-PARADA301,0.1,,
RS03AXPS-SF03A-3D-SPKIRA301,0.1,,
RS03AXPS-SF03A-4A-NUTNRA301,0.1,,
RS03AXPS-SF03A-4B-VELPTD302,0.1,,
RS03AXPS-SF03A-4F-PCO2WA301,,,
RS03CCAL-MJ03F-05-BOTPTA301,0.1,,
RS03ECAL-MJ03E-06-BOTPTA302,0.1,,
RS03INT1-MJ03C-06-MASSPA301,,,
RS03INT1-MJ03C-07-PPSDNA301,,,
RS03INT1-MJ03C-07-RASFLA301,,,
RS03INT1-MJ03C-09-THSPHA301,,,
RS03INT1-MJ03C-10-TRHPHA301,0.1,,
RS03INT2-MJ03D-06-BOTPTA303,0.1,,
RS03INT2-MJ03D-12-VEL3DB304,,,
